ticker,event_date,momentum_pct,filtered_dirname,expected_quote_data_file,found_in_quote_data
ABP,2025-07-23,32.61,ABP_2025-07-23_32.61,ABP_quotes_2025_07_23.parquet,True
ABP,2025-07-28,44.26,ABP_2025-07-28_44.26,ABP_quotes_2025_07_28.parquet,True
ABSI,2025-01-08,37.46,ABSI_2025-01-08_37.46,ABSI_quotes_2025_01_08.parquet,True
ABSI,2025-01-22,36.65,ABSI_2025-01-22_36.65,ABSI_quotes_2025_01_22.parquet,True
ABTS,2025-04-14,33.01,ABTS_2025-04-14_33.01,ABTS_quotes_2025_04_14.parquet,True
ABTS,2025-04-25,30.27,ABTS_2025-04-25_30.27,ABTS_quotes_2025_04_25.parquet,True
ABTS,2025-05-09,303.43,ABTS_2025-05-09_303.43,ABTS_quotes_2025_05_09.parquet,True
ABTS,2025-07-02,36.57,ABTS_2025-07-02_36.57,ABTS_quotes_2025_07_02.parquet,True
ABTS,2025-07-11,36.02,ABTS_2025-07-11_36.02,ABTS_quotes_2025_07_11.parquet,True
ABTS,2025-09-19,45.19,ABTS_2025-09-19_45.19,ABTS_quotes_2025_09_19.parquet,True
ABTS,2025-09-22,34.51,ABTS_2025-09-22_34.51,ABTS_quotes_2025_09_22.parquet,True
ABVC,2025-04-01,32.08,ABVC_2025-04-01_32.08,ABVC_quotes_2025_04_01.parquet,True
ABVC,2025-04-07,80.59,ABVC_2025-04-07_80.59,ABVC_quotes_2025_04_07.parquet,True
ABVC,2025-07-08,37.34,ABVC_2025-07-08_37.34,ABVC_quotes_2025_07_08.parquet,True
ABVEW,2025-10-08,57.14,ABVEW_2025-10-08_57.14,ABVEW_quotes_2025_10_08.parquet,True
ABVEW,2025-10-16,57.89,ABVEW_2025-10-16_57.89,ABVEW_quotes_2025_10_16.parquet,True
ABVEW,2025-10-17,31.42,ABVEW_2025-10-17_31.42,ABVEW_quotes_2025_10_17.parquet,True
ABVEW,2025-10-27,36.21,ABVEW_2025-10-27_36.21,ABVEW_quotes_2025_10_27.parquet,True
ABVE,2025-04-28,50.00,ABVE_2025-04-28_50.00,ABVE_quotes_2025_04_28.parquet,True
ABVE,2025-04-29,54.75,ABVE_2025-04-29_54.75,ABVE_quotes_2025_04_29.parquet,True
ABVE,2025-04-30,41.22,ABVE_2025-04-30_41.22,ABVE_quotes_2025_04_30.parquet,True
ABVE,2025-05-01,68.79,ABVE_2025-05-01_68.79,ABVE_quotes_2025_05_01.parquet,True
ABVE,2025-05-13,39.62,ABVE_2025-05-13_39.62,ABVE_quotes_2025_05_13.parquet,True
ABVE,2025-05-22,31.47,ABVE_2025-05-22_31.47,ABVE_quotes_2025_05_22.parquet,True
ABVE,2025-06-16,35.45,ABVE_2025-06-16_35.45,ABVE_quotes_2025_06_16.parquet,True
ABVE,2025-07-07,85.53,ABVE_2025-07-07_85.53,ABVE_quotes_2025_07_07.parquet,True
ABVE,2025-07-10,480.82,ABVE_2025-07-10_480.82,ABVE_quotes_2025_07_10.parquet,True
ABVE,2025-07-11,183.87,ABVE_2025-07-11_183.87,ABVE_quotes_2025_07_11.parquet,True
ABVE,2025-07-17,127.98,ABVE_2025-07-17_127.98,ABVE_quotes_2025_07_17.parquet,True
ABVE,2025-09-24,33.56,ABVE_2025-09-24_33.56,ABVE_quotes_2025_09_24.parquet,True
ABVE,2025-10-08,70.61,ABVE_2025-10-08_70.61,ABVE_quotes_2025_10_08.parquet,True
ABVE,2025-10-23,30.13,ABVE_2025-10-23_30.13,ABVE_quotes_2025_10_23.parquet,True
ABVX,2025-07-23,613.50,ABVX_2025-07-23_613.50,ABVX_quotes_2025_07_23.parquet,True
ACAD,2025-05-16,43.35,ACAD_2025-05-16_43.35,ACAD_quotes_2025_05_16.parquet,True
ACB,2025-02-05,54.62,ACB_2025-02-05_54.62,ACB_quotes_2025_02_05.parquet,True
ACB,2025-09-29,32.30,ACB_2025-09-29_32.30,ACB_quotes_2025_09_29.parquet,True
ACCL,2025-10-24,36.36,ACCL_2025-10-24_36.36,ACCL_quotes_2025_10_24.parquet,True
ACCL,2025-10-31,39.42,ACCL_2025-10-31_39.42,ACCL_quotes_2025_10_31.parquet,True
ACHV,2025-10-17,44.15,ACHV_2025-10-17_44.15,ACHV_quotes_2025_10_17.parquet,True
ACOG,2025-05-16,42.14,ACOG_2025-05-16_42.14,ACOG_quotes_2025_05_16.parquet,True
ACON,2025-01-03,172.46,ACON_2025-01-03_172.46,ACON_quotes_2025_01_03.parquet,True
ACON,2025-01-24,77.31,ACON_2025-01-24_77.31,ACON_quotes_2025_01_24.parquet,True
ACON,2025-01-30,126.21,ACON_2025-01-30_126.21,ACON_quotes_2025_01_30.parquet,True
ACON,2025-02-04,31.88,ACON_2025-02-04_31.88,ACON_quotes_2025_02_04.parquet,True
ACON,2025-02-28,109.13,ACON_2025-02-28_109.13,ACON_quotes_2025_02_28.parquet,True
ACON,2025-03-03,153.73,ACON_2025-03-03_153.73,ACON_quotes_2025_03_03.parquet,True
ACON,2025-03-05,44.52,ACON_2025-03-05_44.52,ACON_quotes_2025_03_05.parquet,True
ACON,2025-03-14,37.23,ACON_2025-03-14_37.23,ACON_quotes_2025_03_14.parquet,True
ACON,2025-03-17,48.96,ACON_2025-03-17_48.96,ACON_quotes_2025_03_17.parquet,True
ACON,2025-10-13,39.93,ACON_2025-10-13_39.93,ACON_quotes_2025_10_13.parquet,True
ACRV,2025-02-05,35.36,ACRV_2025-02-05_35.36,ACRV_quotes_2025_02_05.parquet,True
ACRV,2025-04-15,46.00,ACRV_2025-04-15_46.00,ACRV_quotes_2025_04_15.parquet,True
ACRV,2025-09-08,100.75,ACRV_2025-09-08_100.75,ACRV_quotes_2025_09_08.parquet,True
ACXP,2025-01-06,40.47,ACXP_2025-01-06_40.47,ACXP_quotes_2025_01_06.parquet,True
